Hospital Name,Address,City,Phone,Pincode,State
A A Hospital,Denkani Kottai Road Mathigiri,Hosur,9123456789,635110,Tamilnadu
A C Hospital,"No-8, 3Rd Main Road, United India Nagar, Ayanavaram, Chennai-600023",Chennai,9123456789,600023,Tamilnadu
A-Care Orthopaedic & General Hospital,"G-1, Giriraj Tower, Sai Baba Nagar, Mira Bhayander Road, Mira Road.",Mumbai,9123456789,401107,Maharashtra
A-One Hospital Pvt Ltd,"A-1/7, Panchim Vihar, Rohtak Road, New Delhi-110063",Delhi,9123456789,110063,Delhi
A.B.Eye Institute,"Road No.12, Rajendra Nagar, Patna, Bihar-800016",Patna,9123456789,800016,Bihar
A.C. Hospital,"201,2Nd Agraharam",Salem,9123456789,636001,Tamilnadu
A.G. Eye Care Hospitals (U Nit Of Dr. A.G. Eye Hospitals Private Limited,"No. 106, R.K. Mutt Road. Mylapore, Chennai, Tamilnadu",Chennai,9123456789,600004,Tamilnadu
A.G. Hospital,"34, Kpn Colony 3Rd Street, Tirupur",Coimbatore,9123456789,641601,Tamilnadu
A.G. Padmavati'S Hospital Ltd.,"R.S. No.127/A, Villianur Main Road, Arumparthapuram, Puducherry",Pondicherry,9123456789,605110,Tamilnadu
A.J. Hospital,"Kazhakuttam, P.O., Thiruvananthapuram, Trivandrum-695582",Trivandrum,9123456789,695582,Kerala
A.J. Hospital & Research Centre,"Kuntikan, Mangalore, Dakshina Kannada-575004, Opp. Ksrtc Depot.Kuntikana",Mangalore,9123456789,575004,Karnataka
A.K.G. Surgical Centre,"# 225, Avas Vikas Colony,Masoodabad Chouraha Gt Roadmasoodabad Chouraha,G.T.Road,",Aligarh,9123456789,202001,Uttar Pradesh
A.M. Hospital,"# 20/1, 2Nd Cross, Widia Layout, Vijayanagar, Bangalore",Bangalore,9123456789,560040,Karnataka
A.M. Hospital,"N.H. 47, Karunagapally",Cochin,9123456789,690518,Kerala
A.N. Beach Hospital,"15-9-13/24, Krishna Nagar,Near Beach Road, Visakhapatnam, Andhra Pradesh",Vizag,9123456789,530002,Andhra Pradesh
A.N.N Hospital,"81-85,Annai Therasa Street,Valasaravakkam",Chennai,9123456789,600087,Tamilnadu
A.P.Hospital,"Ajitnagar Chowk,Near Sultan Wind Water Tank",Amritsar,9123456789,143001,Punjab
A.P.Varkey Mission Hospital,Arakunnam P.O. Thottapady.,Ernakulam,9123456789,682313,Kerala
A.R.Hospital Pvt Ltd,"609, K.K.Nagar, Madurai-625020",Madurai,9123456789,625020,Tamilnadu
